"occurrenceStatus.2";"geometry.2";"pred.2"
1;c(16.22952, 56.9065);0,295
1;c(15.57898, 56.99951);0,42
1;c(13.8744, 57.56412);0,25
1;c(15.79458, 56.84077);0,379
1;c(15.64761, 57.11186);0,401
1;c(14.26874, 57.48601);0,38
1;c(14.72219, 56.47054);0,276
1;c(14.52763, 57.06728);0,282
1;c(15.83416, 57.18918);0,416
1;c(14.46094, 57.42894);0,298
1;c(15.49513, 56.59522);0,37
1;c(15.66482, 56.49046);0,198
1;c(14.16058, 57.48106);0,374
1;c(14.35942, 57.51223);0,348
1;c(14.15701, 57.22685);0,266
1;c(14.02035, 57.48454);0,283
1;c(14.13033, 57.48605);0,374
1;c(14.489305, 67.335483);0,531
1;c(14.262192, 66.852017);0,857
1;c(14.28757, 66.779018);0,857
1;c(14.094657, 66.990705);0,824
1;c(10.102427, 59.011237);0,531
1;c(14.91931, 67.126641);0,824
1;c(14.261007, 66.98209);0,861
1;c(14.055535, 66.896225);0,842
1;c(15.650197, 68.12448);0,531
1;c(7.265565, 62.375825);0,85
1;c(7.246018, 62.380077);0,814
1;c(18.00939, 59.49416);0,286
1;c(15.29393, 58.76398);0,357
1;c(12.62883, 62.53387);0,682
1;c(12.33977, 62.54127);0,69
1;c(21.47856, 69.53059);0,812
1;c(13.601769, 66.940184);0,836
1;c(14.039401, 67.01926);0,531
1;c(15.16294, 58.31241);0,452
1;c(12.876, 57.55594);0,34
1;c(20.82597, 70.19171);0,531
1;c(14.779433, 67.208184);0,843
1;c(15.347276, 67.300441);0,853
1;c(15.53939, 67.380959);0,842
1;c(15.977508, 68.202794);0,852
1;c(14.036832, 66.802719);0,846
1;c(18.17395, 69.1008);0,818
1;c(11.75505, 57.71417);0,185
