"occurrenceStatus";"geometry";"pred"
1;c(15.59828, 62.71732);0,614
1;c(15.1451, 62.72623);0,772
1;c(15.13713, 62.72213);0,772
1;c(17.51804, 60.5393);0,877
1;c(15.69742, 62.69289);0,58
1;c(17.92279, 59.65706);0,21
1;c(17.91657, 59.65096);0,187
1;c(18.27181, 59.11122);0,169
1;c(15.70745, 59.76361);0,466
1;c(12.71249, 56.46898);1
1;c(14.58957, 63.3809);0,552
1;c(14.55705, 63.34616);0,473
1;c(15.40466, 58.06755);0,157
1;c(11.54274, 58.05906);0,315
1;c(14.68959, 63.20648);0,463
1;c(15.08867, 63.39157);0,554
1;c(14.77573, 63.02213);0,616
1;c(14.78013, 62.98445);0,565
1;c(14.85822, 63.21888);0,659
1;c(19.00474, 59.78588);1
1;c(16.32426, 58.82454);0,231
1;c(14.4708, 63.11028);0,572
1;c(14.46352, 63.11471);0,572
1;c(14.94316, 63.02021);0,377
1;c(16.51514, 59.16344);0,22
1;c(15.56576, 58.19345);0
1;c(17.48087, 62.52252);0,388
